AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
480,4,PILATUS PORTR PC6A,PILATUS,PILATUS TURBO PORTER PC-6A,PC-6A,1/1/1990 12:00:00 AM,
481,4,PILATUS PORTR PC6B,PILATUS,PILATUS TURBO PORTER PC-6B,PC-6B,1/1/1990 12:00:00 AM,
482,4,DHC8-Q400  DASH-8,DEHAVILLAND,DEHAVILLAND DHC8-400 DASH-8,DASH8-Q4,1/1/1999 12:00:00 AM,
483,4,DHC8-100 DASH 8,DEHAVILLAND,DEHAVILLAND DHC8-100 DASH-8,DASH8-1,1/1/1990 12:00:00 AM,
484,4,DHC8-300 DASH 8,DEHAVILLAND,DEHAVILLAND DHC8-300 DASH 8,DHC8-300,1/1/1990 12:00:00 AM,
485,4,DEHAVILLAND DHC-6,DEHAVILLAND,DEHAVILLAND TWIN OTTER DHC-6,DHC-6,1/1/1990 12:00:00 AM,
486,4,SHORT HARLAND SC-7,SHORT BROS. ,SHORTS HARLAND SC-7 SKYVAN,SKYVAN,1/1/1990 12:00:00 AM,
487,4,SHORTS 330,SHORT BROS.,SHORTS 330,SHORT330,1/1/1990 12:00:00 AM,
488,4,CARSTEDT CJ-600A,CARSTEDT,CARSTEDT CJ-600A,CJ-600A,1/1/1990 12:00:00 AM,
489,4,SHORTS 360,SHORT BROS.,SHORTS 360,SHORT360,1/1/1990 12:00:00 AM,
490,4,VOLPAR TURBO 18,VOLPAR,VOLPAR TURBO 18,VOLPAR18,1/1/1990 12:00:00 AM,
491,4,DEHAVILLAND DHC8-2,BOMBARDIER,DEHAVILLAND DHC8-200Q DASH-8,DHC8-200,11/1/2002 12:00:00 AM,
495,6,HAWKER 4000,BEECHCRAFT,HAWKER BEECHCRAFT HAWKER 4000,HAWK4000,10/1/2017 12:00:00 AM,
501,6,GULFSTREAM G500C,GULFSTREAM,GULFSTREAM AEROSPACE G500C,G500C,12/1/2023 12:00:00 AM,1/1/9999 12:00:00 AM
507,5,ANTONOV 12,ANTONOV DESIGN BUREAU,ANTONOV 12,AN-12,1/1/2000 12:00:00 AM,
508,5,ANTONOV AN-22-F,ANTONOV,ANTONOV AN-22 FREIGHTER,AN-22F,1/1/1990 12:00:00 AM,
510,5,AW-650,ARMSTRONG WHITWORTH,AW-650,AW-650,1/1/1990 12:00:00 AM,
515,6,CHALLENGER 350,BOMBARDIER,BOMARDIER CHALLENGER 350,BD-350,1/1/2015 12:00:00 AM,
520,5,CANADAIR CL-44D,CANADAIR,CANADAIR CL-44D,CL-44D,1/1/1990 12:00:00 AM,
